Favorable,Party_D,Party_I,Party_R,binaryClass
1,False,False,True,0
1,False,False,True,0
2,False,False,True,0
2,False,False,True,0
2,False,False,True,1
2,False,False,True,0
2,False,False,True,1
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
2,False,False,True,0
1,False,False,True,0
10,True,False,False,0
9,True,False,False,0
2,False,False,True,0
10,True,False,False,0
10,True,False,False,0
1,False,False,True,0
1,False,False,True,0
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
2,False,False,True,0
2,False,False,True,1
4,False,False,True,0
10,True,False,False,0
3,False,False,True,0
10,True,False,False,0
2,False,False,True,0
10,True,False,False,0
1,False,False,True,1
2,False,False,True,0
2,False,False,True,0
1,False,False,True,0
10,True,False,False,0
10,True,False,False,0
4,False,False,True,0
5,False,False,True,0
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
3,False,False,True,0
9,True,False,False,0
1,False,False,True,0
2,False,False,True,0
2,False,False,True,0
1,False,False,True,0
2,False,False,True,0
9,True,False,False,0
1,False,False,True,0
10,True,False,False,0
2,False,False,True,0
10,True,False,False,0
10,True,False,False,0
1,False,True,False,0
2,False,False,True,1
10,True,False,False,0
10,True,False,False,0
2,False,False,True,0
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
1,False,False,True,0
10,True,False,False,0
10,True,False,False,0
9,True,False,False,0
3,False,False,True,0
5,False,False,True,0
1,False,False,True,0
1,False,False,True,0
10,True,False,False,0
2,False,False,True,0
5,False,False,True,0
3,False,False,True,0
4,False,False,True,1
10,True,False,False,0
2,False,False,True,0
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
1,False,False,True,0
2,False,False,True,0
1,False,False,True,0
2,False,False,True,0
2,False,False,True,0
2,False,False,True,0
10,True,False,False,0
3,False,False,True,0
3,False,False,True,0
9,True,False,False,0
3,False,False,True,0
9,True,False,False,1
8,True,False,False,0
10,True,False,False,0
10,True,False,False,0
10,True,False,False,0
1,False,False,True,0
1,False,False,True,0
