year,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,age,sex,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,movedin,gq_HH_in_1970_definition_but_sampled_as_larger_unit,gq_Institution,gq_Other_group_quarters,gqtypeg_College_dormitory,gqtypeg_Correctional_institutions,gqtypeg_Mental_institutions,gqtypeg_Military,gqtypeg_NA_(household),gqtypeg_Other_institutions,gqtypeg_Other_non-instit_GQ_and_unknown,gqtypeg_Rooming_house,farm_Farm,farm_Non-Farm,relateg_Child,relateg_Child-in-law,relateg_Grandchild,relateg_Head_Householder,relateg_Institutional_inmates,relateg_Other_non-relatives,relateg_Other_relatives,relateg_Parent,relateg_Parent-in-Law,relateg_Partner_friend_visitor,relateg_Sibling,relateg_Sibling-in-Law,relateg_Spouse,raceg_American_Indian,raceg_Black_Negro,raceg_Chinese,raceg_Japanese,raceg_Other_Asian_or_Pacific,raceg_Other_race_nec,raceg_White,marst_Divorced,marst_Married_spouse_absent,marst_Married_spouse_present,marst_Never_married_single,marst_Separated,marst_Widowed,school_No_not_in_school,school_Yes_in_school,binaryClass
98,999999.0,325.0,9505.0,1,1,1,1,0,0,0,0,0,0,1,1,4,2,2,1,3,1,0,25,0,18,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,999999.0,287.0,8005.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,20,0,22,61,8005.0,8005.0,0.0,0.0,0.0,0.0,0.0,211.0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,1
98,85000.0,0.0,29635.0,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,4,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,304.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,0.0,52895.0,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,17,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,185.0,7610.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,25,0,17,13,4520.0,4505.0,0.0,0.0,0.0,0.0,0.0,119.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,999999.0,135.0,75000.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,44,1,20,9,57240.0,56525.0,0.0,0.0,0.0,0.0,715.0,501.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
98,999999.0,237.0,7760.0,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,7,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,105.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,1
98,57500.0,0.0,25465.0,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1,99,99,7,17,0,0,0,1655.0,0.0,0.0,0.0,1655.0,0.0,0.0,173.0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
98,85000.0,0.0,14510.0,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,73,1,0,0,14510.0,0.0,0.0,0.0,2505.0,0.0,0.0,329.0,5,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1
98,112500.0,0.0,2700.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,27,0,40,77,2700.0,2105.0,0.0,0.0,0.0,0.0,0.0,71.0,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
