Day,Births,Month_1/1/00,Month_10/1/00,Month_11/1/00,Month_12/1/00,Month_2/1/00,Month_3/1/00,Month_4/1/00,Month_5/1/00,Month_6/1/00,Month_7/1/00,Month_8/1/00,binaryClass
1,7701.0,True,False,False,False,False,False,False,False,False,False,False,1
2,7527.0,True,False,False,False,False,False,False,False,False,False,False,0
3,8825.0,True,False,False,False,False,False,False,False,False,False,False,0
4,8859.0,True,False,False,False,False,False,False,False,False,False,False,0
5,9043.0,True,False,False,False,False,False,False,False,False,False,False,0
6,9208.0,True,False,False,False,False,False,False,False,False,False,False,0
7,8084.0,True,False,False,False,False,False,False,False,False,False,False,0
8,7611.0,True,False,False,False,False,False,False,False,False,False,False,1
9,9172.0,True,False,False,False,False,False,False,False,False,False,False,0
10,9089.0,True,False,False,False,False,False,False,False,False,False,False,0
11,9210.0,True,False,False,False,False,False,False,False,False,False,False,0
12,9259.0,True,False,False,False,False,False,False,False,False,False,False,0
13,9138.0,True,False,False,False,False,False,False,False,False,False,False,0
14,8299.0,True,False,False,False,False,False,False,False,False,False,False,0
15,7771.0,True,False,False,False,False,False,False,False,False,False,False,1
16,9458.0,True,False,False,False,False,False,False,False,False,False,False,0
17,9339.0,True,False,False,False,False,False,False,False,False,False,False,0
18,9120.0,True,False,False,False,False,False,False,False,False,False,False,0
19,9226.0,True,False,False,False,False,False,False,False,False,False,False,0
20,9305.0,True,False,False,False,False,False,False,False,False,False,False,0
21,7954.0,True,False,False,False,False,False,False,False,False,False,False,0
22,7560.0,True,False,False,False,False,False,False,False,False,False,False,1
23,9252.0,True,False,False,False,False,False,False,False,False,False,False,0
24,9416.0,True,False,False,False,False,False,False,False,False,False,False,0
25,9090.0,True,False,False,False,False,False,False,False,False,False,False,0
26,9387.0,True,False,False,False,False,False,False,False,False,False,False,0
27,8983.0,True,False,False,False,False,False,False,False,False,False,False,0
28,7946.0,True,False,False,False,False,False,False,False,False,False,False,0
29,7527.0,True,False,False,False,False,False,False,False,False,False,False,1
30,9184.0,True,False,False,False,False,False,False,False,False,False,False,0
31,9152.0,True,False,False,False,False,False,False,False,False,False,False,0
1,9159.0,False,False,False,False,True,False,False,False,False,False,False,0
2,9218.0,False,False,False,False,True,False,False,False,False,False,False,0
3,9167.0,False,False,False,False,True,False,False,False,False,False,False,0
4,8065.0,False,False,False,False,True,False,False,False,False,False,False,0
5,7804.0,False,False,False,False,True,False,False,False,False,False,False,1
6,9225.0,False,False,False,False,True,False,False,False,False,False,False,0
7,9328.0,False,False,False,False,True,False,False,False,False,False,False,0
8,9139.0,False,False,False,False,True,False,False,False,False,False,False,0
9,9247.0,False,False,False,False,True,False,False,False,False,False,False,0
10,9527.0,False,False,False,False,True,False,False,False,False,False,False,0
11,8144.0,False,False,False,False,True,False,False,False,False,False,False,0
12,7950.0,False,False,False,False,True,False,False,False,False,False,False,1
13,8966.0,False,False,False,False,True,False,False,False,False,False,False,0
14,9859.0,False,False,False,False,True,False,False,False,False,False,False,0
15,9285.0,False,False,False,False,True,False,False,False,False,False,False,0
16,9103.0,False,False,False,False,True,False,False,False,False,False,False,0
17,9238.0,False,False,False,False,True,False,False,False,False,False,False,0
18,8167.0,False,False,False,False,True,False,False,False,False,False,False,0
19,7695.0,False,False,False,False,True,False,False,False,False,False,False,1
20,9021.0,False,False,False,False,True,False,False,False,False,False,False,0
21,9252.0,False,False,False,False,True,False,False,False,False,False,False,0
22,9335.0,False,False,False,False,True,False,False,False,False,False,False,0
23,9268.0,False,False,False,False,True,False,False,False,False,False,False,0
24,9552.0,False,False,False,False,True,False,False,False,False,False,False,0
25,8313.0,False,False,False,False,True,False,False,False,False,False,False,0
26,7881.0,False,False,False,False,True,False,False,False,False,False,False,1
27,9262.0,False,False,False,False,True,False,False,False,False,False,False,0
28,9705.0,False,False,False,False,True,False,False,False,False,False,False,0
1,9132.0,False,False,False,False,False,True,False,False,False,False,False,0
2,9304.0,False,False,False,False,False,True,False,False,False,False,False,0
3,9431.0,False,False,False,False,False,True,False,False,False,False,False,0
4,8008.0,False,False,False,False,False,True,False,False,False,False,False,0
5,7791.0,False,False,False,False,False,True,False,False,False,False,False,1
6,9294.0,False,False,False,False,False,True,False,False,False,False,False,0
7,9573.0,False,False,False,False,False,True,False,False,False,False,False,0
8,9212.0,False,False,False,False,False,True,False,False,False,False,False,0
9,9218.0,False,False,False,False,False,True,False,False,False,False,False,0
10,9583.0,False,False,False,False,False,True,False,False,False,False,False,0
11,8144.0,False,False,False,False,False,True,False,False,False,False,False,0
12,7870.0,False,False,False,False,False,True,False,False,False,False,False,1
13,9022.0,False,False,False,False,False,True,False,False,False,False,False,0
14,9525.0,False,False,False,False,False,True,False,False,False,False,False,0
15,9284.0,False,False,False,False,False,True,False,False,False,False,False,0
16,9327.0,False,False,False,False,False,True,False,False,False,False,False,0
17,9480.0,False,False,False,False,False,True,False,False,False,False,False,0
18,7965.0,False,False,False,False,False,True,False,False,False,False,False,0
19,7729.0,False,False,False,False,False,True,False,False,False,False,False,1
20,9135.0,False,False,False,False,False,True,False,False,False,False,False,0
21,9663.0,False,False,False,False,False,True,False,False,False,False,False,0
22,9307.0,False,False,False,False,False,True,False,False,False,False,False,0
23,9159.0,False,False,False,False,False,True,False,False,False,False,False,0
24,9157.0,False,False,False,False,False,True,False,False,False,False,False,0
25,7874.0,False,False,False,False,False,True,False,False,False,False,False,0
26,7589.0,False,False,False,False,False,True,False,False,False,False,False,1
27,9100.0,False,False,False,False,False,True,False,False,False,False,False,0
28,9293.0,False,False,False,False,False,True,False,False,False,False,False,0
29,9195.0,False,False,False,False,False,True,False,False,False,False,False,0
30,8902.0,False,False,False,False,False,True,False,False,False,False,False,0
31,9318.0,False,False,False,False,False,True,False,False,False,False,False,0
1,8069.0,False,False,False,False,False,False,True,False,False,False,False,0
2,7691.0,False,False,False,False,False,False,True,False,False,False,False,1
3,9114.0,False,False,False,False,False,False,True,False,False,False,False,0
4,9439.0,False,False,False,False,False,False,True,False,False,False,False,0
5,8852.0,False,False,False,False,False,False,True,False,False,False,False,0
6,8969.0,False,False,False,False,False,False,True,False,False,False,False,0
7,9077.0,False,False,False,False,False,False,True,False,False,False,False,0
8,7890.0,False,False,False,False,False,False,True,False,False,False,False,0
9,7445.0,False,False,False,False,False,False,True,False,False,False,False,1
10,8870.0,False,False,False,False,False,False,True,False,False,False,False,0
11,9023.0,False,False,False,False,False,False,True,False,False,False,False,0
12,8606.0,False,False,False,False,False,False,True,False,False,False,False,0
13,8724.0,False,False,False,False,False,False,True,False,False,False,False,0
14,9012.0,False,False,False,False,False,False,True,False,False,False,False,0
15,7527.0,False,False,False,False,False,False,True,False,False,False,False,0
16,7193.0,False,False,False,False,False,False,True,False,False,False,False,1
17,8702.0,False,False,False,False,False,False,True,False,False,False,False,0
18,9205.0,False,False,False,False,False,False,True,False,False,False,False,0
19,8720.0,False,False,False,False,False,False,True,False,False,False,False,0
20,8582.0,False,False,False,False,False,False,True,False,False,False,False,0
21,8892.0,False,False,False,False,False,False,True,False,False,False,False,0
22,7787.0,False,False,False,False,False,False,True,False,False,False,False,0
23,7304.0,False,False,False,False,False,False,True,False,False,False,False,1
24,9017.0,False,False,False,False,False,False,True,False,False,False,False,0
25,9077.0,False,False,False,False,False,False,True,False,False,False,False,0
26,9019.0,False,False,False,False,False,False,True,False,False,False,False,0
27,8839.0,False,False,False,False,False,False,True,False,False,False,False,0
28,9047.0,False,False,False,False,False,False,True,False,False,False,False,0
29,7750.0,False,False,False,False,False,False,True,False,False,False,False,0
30,7135.0,False,False,False,False,False,False,True,False,False,False,False,1
1,8900.0,False,False,False,False,False,False,False,True,False,False,False,0
2,9422.0,False,False,False,False,False,False,False,True,False,False,False,0
3,9051.0,False,False,False,False,False,False,False,True,False,False,False,0
4,8672.0,False,False,False,False,False,False,False,True,False,False,False,0
5,9101.0,False,False,False,False,False,False,False,True,False,False,False,0
6,7718.0,False,False,False,False,False,False,False,True,False,False,False,0
7,7388.0,False,False,False,False,False,False,False,True,False,False,False,1
8,8987.0,False,False,False,False,False,False,False,True,False,False,False,0
9,9307.0,False,False,False,False,False,False,False,True,False,False,False,0
10,9273.0,False,False,False,False,False,False,False,True,False,False,False,0
11,8903.0,False,False,False,False,False,False,False,True,False,False,False,0
12,8975.0,False,False,False,False,False,False,False,True,False,False,False,0
13,7762.0,False,False,False,False,False,False,False,True,False,False,False,0
14,7382.0,False,False,False,False,False,False,False,True,False,False,False,1
15,9195.0,False,False,False,False,False,False,False,True,False,False,False,0
16,9200.0,False,False,False,False,False,False,False,True,False,False,False,0
17,8913.0,False,False,False,False,False,False,False,True,False,False,False,0
18,9044.0,False,False,False,False,False,False,False,True,False,False,False,0
19,9000.0,False,False,False,False,False,False,False,True,False,False,False,0
20,8064.0,False,False,False,False,False,False,False,True,False,False,False,0
21,7570.0,False,False,False,False,False,False,False,True,False,False,False,1
22,9089.0,False,False,False,False,False,False,False,True,False,False,False,0
23,9210.0,False,False,False,False,False,False,False,True,False,False,False,0
24,9196.0,False,False,False,False,False,False,False,True,False,False,False,0
25,9180.0,False,False,False,False,False,False,False,True,False,False,False,0
26,9514.0,False,False,False,False,False,False,False,True,False,False,False,0
27,8005.0,False,False,False,False,False,False,False,True,False,False,False,0
28,7781.0,False,False,False,False,False,False,False,True,False,False,False,1
29,7780.0,False,False,False,False,False,False,False,True,False,False,False,0
30,9630.0,False,False,False,False,False,False,False,True,False,False,False,0
31,9600.0,False,False,False,False,False,False,False,True,False,False,False,0
1,9435.0,False,False,False,False,False,False,False,False,True,False,False,0
2,9303.0,False,False,False,False,False,False,False,False,True,False,False,0
