Lottery.pick.1970,Lottery.pick.1971,Month,Month.ordered.picks.1970,binaryClass
305.0,133.0,1,9,0
159.0,195.0,1,4,0
251.0,336.0,1,12,0
215.0,99.0,1,2,0
101.0,33.0,1,10,0
224.0,285.0,1,9,0
306.0,159.0,1,10,0
199.0,116.0,1,9,0
194.0,53.0,1,11,0
325.0,101.0,1,12,0
329.0,144.0,1,8,0
221.0,152.0,1,12,0
318.0,330.0,1,7,0
238.0,71.0,1,4,0
17.0,75.0,1,7,0
121.0,136.0,1,12,0
235.0,54.0,1,1,0
140.0,185.0,1,9,0
58.0,188.0,1,11,0
280.0,211.0,1,6,0
186.0,129.0,1,8,0
337.0,132.0,1,6,0
118.0,48.0,1,7,0
59.0,177.0,1,10,0
52.0,57.0,1,2,0
92.0,140.0,1,12,0
355.0,173.0,1,7,0
77.0,346.0,1,6,0
349.0,277.0,1,3,0
164.0,112.0,1,3,0
211.0,60.0,1,5,0
86.0,335.0,2,4,0
144.0,354.0,2,3,1
297.0,186.0,2,11,0
210.0,94.0,2,5,0
214.0,97.0,2,8,0
347.0,16.0,2,5,0
91.0,25.0,2,10,0
181.0,127.0,2,12,0
338.0,187.0,2,5,0
216.0,46.0,2,12,0
150.0,227.0,2,7,0
68.0,262.0,2,12,0
152.0,13.0,2,8,0
4.0,260.0,2,8,0
89.0,201.0,2,11,0
212.0,334.0,2,11,0
189.0,345.0,2,8,1
292.0,337.0,2,9,0
25.0,331.0,2,7,0
302.0,20.0,2,11,0
363.0,213.0,2,1,0
290.0,271.0,2,12,1
57.0,351.0,2,8,1
236.0,226.0,2,5,0
179.0,325.0,2,12,0
365.0,86.0,2,2,1
205.0,66.0,2,1,0
299.0,234.0,2,1,0
285.0,,2,6,1
108.0,14.0,3,8,0
29.0,77.0,3,4,0
267.0,207.0,3,9,0
275.0,117.0,3,6,0
293.0,299.0,3,5,0
139.0,296.0,3,11,0
122.0,141.0,3,7,0
213.0,79.0,3,2,0
317.0,278.0,3,6,0
323.0,150.0,3,12,0
136.0,317.0,3,9,1
300.0,24.0,3,10,0
259.0,241.0,3,6,0
354.0,12.0,3,4,0
169.0,157.0,3,5,1
166.0,258.0,3,11,0
33.0,220.0,3,1,0
332.0,319.0,3,12,0
200.0,189.0,3,10,0
239.0,170.0,3,11,0
334.0,246.0,3,4,0
265.0,269.0,3,9,0
256.0,281.0,3,4,0
258.0,203.0,3,12,0
343.0,298.0,3,6,0
170.0,121.0,3,2,0
268.0,254.0,3,10,0
223.0,95.0,3,7,0
362.0,147.0,3,2,0
217.0,56.0,3,4,0
30.0,38.0,3,2,0
32.0,224.0,4,1,0
271.0,216.0,4,7,0
83.0,297.0,4,10,0
81.0,37.0,4,12,0
269.0,124.0,4,12,0
253.0,312.0,4,11,0
147.0,142.0,4,7,0
312.0,267.0,4,11,1
219.0,223.0,4,12,0
218.0,165.0,4,1,1
14.0,178.0,4,8,0
346.0,89.0,4,5,0
124.0,143.0,4,6,0
231.0,202.0,4,12,0
273.0,182.0,4,8,0
148.0,31.0,4,11,0
260.0,264.0,4,3,0
90.0,138.0,4,6,0
336.0,62.0,4,6,0
345.0,118.0,4,8,0
62.0,8.0,4,5,1
316.0,256.0,4,9,0
252.0,292.0,4,8,0
2.0,244.0,4,7,0
351.0,328.0,4,8,1
340.0,137.0,4,10,0
74.0,235.0,4,1,0
262.0,82.0,4,9,0
191.0,111.0,4,7,0
208.0,358.0,4,1,0
330.0,179.0,5,3,0
298.0,96.0,5,12,0
40.0,171.0,5,4,0
276.0,240.0,5,10,0
364.0,301.0,5,11,0
155.0,268.0,5,11,0
35.0,29.0,5,12,0
321.0,105.0,5,12,1
197.0,357.0,5,5,0
65.0,146.0,5,11,0
37.0,293.0,5,11,1
133.0,210.0,5,5,1
295.0,353.0,5,6,0
178.0,40.0,5,12,0
130.0,344.0,5,3,1
55.0,175.0,5,6,0
112.0,212.0,5,10,0
278.0,180.0,5,3,0
75.0,155.0,5,1,1
183.0,242.0,5,8,0
250.0,225.0,5,8,0
326.0,199.0,5,11,0
319.0,222.0,5,2,1
31.0,22.0,5,8,0
361.0,26.0,5,11,0
357.0,148.0,5,4,0
296.0,122.0,5,4,0
308.0,9.0,5,9,0
226.0,61.0,5,2,0
103.0,209.0,5,9,0
313.0,350.0,5,2,1
249.0,65.0,6,7,0
228.0,304.0,6,8,0
301.0,135.0,6,5,0
20.0,42.0,6,11,0
28.0,233.0,6,12,0
110.0,153.0,6,9,0
85.0,169.0,6,1,1
366.0,7.0,6,9,0
335.0,352.0,6,9,0
206.0,76.0,6,12,0
134.0,355.0,6,12,0
272.0,51.0,6,1,0
69.0,342.0,6,12,0
356.0,363.0,6,3,0
180.0,276.0,6,8,0
274.0,229.0,6,8,0
73.0,289.0,6,3,0
341.0,214.0,6,3,0
104.0,163.0,6,10,0
360.0,43.0,6,7,0
60.0,113.0,6,12,1
247.0,307.0,6,11,0
109.0,44.0,6,9,0
358.0,236.0,6,10,0
137.0,327.0,6,9,1
22.0,308.0,6,5,0
64.0,55.0,6,2,0
222.0,215.0,6,6,0
353.0,154.0,6,2,0
209.0,217.0,6,11,0
93.0,104.0,7,5,0
350.0,322.0,7,9,0
115.0,30.0,7,11,1
279.0,59.0,7,1,0
188.0,287.0,7,7,0
327.0,164.0,7,7,1
50.0,365.0,7,2,0
13.0,106.0,7,7,0
277.0,1.0,7,4,0
284.0,158.0,7,10,0
248.0,174.0,7,7,0
15.0,257.0,7,1,0
42.0,349.0,7,9,1
331.0,156.0,7,10,0
322.0,273.0,7,5,0
120.0,284.0,7,8,0
98.0,341.0,7,1,0
190.0,90.0,7,3,0
227.0,316.0,7,10,0
187.0,120.0,7,10,0
27.0,356.0,7,11,0
153.0,282.0,7,9,0
172.0,172.0,7,2,0
23.0,360.0,7,6,0
67.0,3.0,7,9,0
303.0,47.0,7,4,0
289.0,85.0,7,6,0
88.0,190.0,7,2,0
270.0,4.0,7,1,1
287.0,15.0,7,2,0
193.0,221.0,7,3,0
111.0,326.0,8,2,0
45.0,102.0,8,1,0
261.0,279.0,8,2,0
145.0,300.0,8,3,0
54.0,64.0,8,4,0
114.0,251.0,8,4,0
168.0,263.0,8,10,0
48.0,49.0,8,1,0
106.0,125.0,8,6,0
21.0,359.0,8,3,0
324.0,230.0,8,1,0
142.0,320.0,8,9,0
307.0,58.0,8,5,0
198.0,103.0,8,7,0
102.0,270.0,8,6,0
44.0,329.0,8,10,0
154.0,343.0,8,11,0
141.0,109.0,8,4,0
311.0,83.0,8,9,0
344.0,69.0,8,9,0
291.0,50.0,8,10,0
339.0,250.0,8,1,0
116.0,10.0,8,2,0
36.0,274.0,8,10,0
286.0,364.0,8,1,0
245.0,91.0,8,3,0
352.0,232.0,8,12,0
167.0,248.0,8,10,0
61.0,32.0,8,9,0
333.0,167.0,8,10,0
11.0,275.0,8,10,0
225.0,283.0,9,8,0
161.0,161.0,9,9,0
49.0,183.0,9,6,0
232.0,231.0,9,7,0
82.0,295.0,9,6,0
6.0,21.0,9,5,0
8.0,265.0,9,1,0
184.0,108.0,9,4,0
263.0,313.0,9,4,0
71.0,130.0,9,10,0
158.0,288.0,9,9,0
242.0,314.0,9,3,0
175.0,238.0,9,9,0
1.0,247.0,9,3,0
113.0,291.0,9,3,0
207.0,139.0,9,4,0
255.0,200.0,9,8,0
246.0,333.0,9,4,0
177.0,228.0,9,9,0
63.0,261.0,9,10,0
204.0,68.0,9,3,0
160.0,88.0,9,11,0
119.0,206.0,9,3,0
195.0,237.0,9,3,0
149.0,107.0,9,4,0
18.0,93.0,9,7,0
233.0,338.0,9,4,0
257.0,309.0,9,6,0
151.0,303.0,9,4,0
315.0,18.0,9,6,0
359.0,306.0,10,3,0
125.0,191.0,10,5,0
244.0,134.0,10,7,1
202.0,266.0,10,5,0
24.0,166.0,10,7,0
87.0,78.0,10,1,0
234.0,131.0,10,11,0
283.0,45.0,10,11,0
342.0,302.0,10,10,0
220.0,160.0,10,7,0
237.0,84.0,10,2,1
72.0,70.0,10,8,0
138.0,92.0,10,7,0
294.0,115.0,10,10,0
171.0,310.0,10,7,0
254.0,34.0,10,2,0
288.0,290.0,10,8,0
5.0,340.0,10,2,0
241.0,74.0,10,3,0
192.0,196.0,10,10,0
243.0,5.0,10,5,0
117.0,36.0,10,5,0
201.0,339.0,10,2,0
196.0,149.0,10,5,0
176.0,17.0,10,2,0
7.0,184.0,10,3,0
264.0,318.0,10,6,0
